

@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
报告生成时间：Thu Oct 20 00:36:40 EDT 2011
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@


*******************
clustering results are here:
required minimum group member:,25.0
required coverage percentage:,0.65
total number of data:,100
current coverage:,0.75
clustering status:,Non-expanded clustering
***************************

Group number:,0
x:,2.711335405633082 ,Y:,3.4454026502314807
x:,2.6827359191988553 ,Y:,3.4320409654051174
x:,2.9715731486048136 ,Y:,3.3166090143308082
x:,2.722649055477641 ,Y:,4.221443512297702
x:,3.484488396552783 ,Y:,3.1257978027764324
x:,2.590942841272359 ,Y:,4.466543874136938
x:,2.619201654321536 ,Y:,2.3228318244585253
x:,1.8321762018883325 ,Y:,4.163776973575147
x:,1.6768898510314312 ,Y:,4.43052695787642
x:,2.410616657786467 ,Y:,4.859414281997187
x:,1.130039664509167 ,Y:,3.130959000847666
x:,2.2720936628897768 ,Y:,1.696231559171274
x:,1.3519971204273418 ,Y:,2.2505640959156503
x:,4.16434476416958 ,Y:,2.233067233824819
x:,4.588224370048318 ,Y:,4.094802932086155
x:,1.2776016704792614 ,Y:,4.823607734832556
x:,2.342254417339553 ,Y:,1.4493040697782456
x:,4.795154445988156 ,Y:,3.077545519435083
x:,4.258110956086255 ,Y:,1.9753007808538958
x:,4.0112876971623805 ,Y:,1.6959273918000983
x:,4.589706580411811 ,Y:,2.209567611287744
x:,3.897532375681151 ,Y:,5.37389089544816
x:,0.3098644763082925 ,Y:,3.153347043430137
x:,1.1133790492763451 ,Y:,5.287695131616708
x:,1.704463430769536 ,Y:,5.786847627571786
Group number:,1
x:,7.482497657473236 ,Y:,1.6741585115868673
x:,7.358206294101025 ,Y:,1.455788416680034
x:,7.086324847826947 ,Y:,1.472731957388862
x:,7.251446666535882 ,Y:,0.9872838381755789
x:,8.132919641760814 ,Y:,1.0046652489031171
x:,8.364771251866035 ,Y:,1.126477672326729
x:,8.36814459213561 ,Y:,0.5461486886267031
x:,9.131811090389036 ,Y:,1.41351386714624
x:,8.964144988227694 ,Y:,0.8636314925230393
x:,9.090876129741654 ,Y:,2.2622161628272552
x:,8.903029827944616 ,Y:,2.7343556833992544
x:,8.384604127110576 ,Y:,0.12052440678385845
x:,5.672191204715511 ,Y:,1.9825627878469188
x:,6.021744152913095 ,Y:,2.878529329564695
x:,6.356777852653392 ,Y:,3.201043817146172
x:,5.602847852767981 ,Y:,2.0199885777670157
x:,7.946318080426245 ,Y:,3.5361092097668614
x:,5.997060636088967 ,Y:,0.2534278702344839
x:,5.9407037813625605 ,Y:,3.0942970146693263
x:,8.096702867470675 ,Y:,3.7880691160905
x:,8.20959986003469 ,Y:,3.760454235986135
x:,5.353732277420641 ,Y:,0.688032786699605
x:,9.73589505655459 ,Y:,0.9214711512226847
x:,5.029262168292089 ,Y:,1.1489740146229366
x:,9.868514570063088 ,Y:,0.3731035705754515
Group number:,2
x:,7.18931409197093 ,Y:,8.466754998150506
x:,6.771870221742576 ,Y:,8.774876522482616
x:,7.584526549732241 ,Y:,9.181217660539897
x:,6.357224300765085 ,Y:,9.041600854984834
x:,8.098529340374776 ,Y:,9.764886028496015
x:,8.427378470902141 ,Y:,9.53749437465685
x:,6.144197633823109 ,Y:,7.165516545386417
x:,8.134757180428354 ,Y:,9.872366693963668
x:,6.688585347207483 ,Y:,6.832587453357086
x:,8.486535253615502 ,Y:,7.14744656698714
x:,9.038764120104624 ,Y:,7.7531639838998645
x:,9.143459157271776 ,Y:,8.118263305007996
x:,5.078007668841727 ,Y:,8.051426771078992
x:,9.17423027827523 ,Y:,9.957557973901388
x:,8.988135405716658 ,Y:,6.684269439542362
x:,9.807732882210905 ,Y:,8.622088653092602
x:,6.8563960502609556 ,Y:,5.7994995409124925
x:,6.90435090737944 ,Y:,5.785659867778223
x:,4.793443401033361 ,Y:,6.373045313970918
x:,3.9681969558377017 ,Y:,8.018578341363161
x:,4.785334084290186 ,Y:,5.977657999143517
x:,3.587370768805871 ,Y:,8.094292165739578
x:,4.383477184686645 ,Y:,6.166737984931566
x:,3.965075429018463 ,Y:,6.756438259167292
x:,3.3139655058185467 ,Y:,8.45886979563505
